pred1,pred2,p_val,code,type,q_val,gene
GenoCanyon (0.022),FATHMM (-0.019),0.663,30740,PCC,0.574036396984463,gigyf1
LRT (0.012),FATHMM (-0.019),0.698,30740,PCC,0.583968967040916,gigyf1
M-CAP (0.051),FATHMM (-0.019),0.36,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),FATHMM (-0.019),0.635,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),FATHMM (-0.019),0.492,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),FATHMM (-0.019),0.6,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),FATHMM (-0.019),0.546,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),FATHMM (-0.019),0.262,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),FATHMM (-0.019),0.6,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),FATHMM (-0.019),0.36,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),FATHMM (-0.019),0.498,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),FATHMM (-0.019),0.265,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),FATHMM (-0.019),0.563,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),FATHMM (-0.019),0.602,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),FATHMM (-0.019),0.637,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),FATHMM (-0.019),0.325,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),GenoCanyon (0.022),0.321,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),GenoCanyon (0.022),0.406,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),GenoCanyon (0.022),0.397,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),GenoCanyon (0.022),0.337,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),GenoCanyon (0.022),1,30740,PCC,0.68255207585131,gigyf1
LRT (0.012),GenoCanyon (0.022),0.57,30740,PCC,0.572808408753648,gigyf1
M-CAP (0.051),GenoCanyon (0.022),0.194,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),GenoCanyon (0.022),0.449,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),GenoCanyon (0.022),0.306,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),GenoCanyon (0.022),0.401,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),GenoCanyon (0.022),0.366,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),GenoCanyon (0.022),0.101,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),GenoCanyon (0.022),0.407,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),GenoCanyon (0.022),0.133,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),GenoCanyon (0.022),0.294,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),GenoCanyon (0.022),0.081,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),GenoCanyon (0.022),0.358,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),GenoCanyon (0.022),0.41,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),GenoCanyon (0.022),0.484,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),GenoCanyon (0.022),0.158,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),LRT (0.012),0.294,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),LRT (0.012),0.348,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),LRT (0.012),0.327,30740,PCC,0.572808408753648,gigyf1
